title;url;P;precio;precio_anterior;descuento;EUR/m2;m2_constr;ciudad;distrito;cod_distrito;barrio;cod_barrio;zona;calle;title2;consumoce_ano;letrace;emisiones_co2;tipologia;propiedad_completa;estado;amueblado;planta;habitaciones;dormitorios;banos;balcon;terraza;garaje;trastero;ascensor;porteria;acceso_minusv;calefaccion;ano_construccion;plantas_edificio;aire_acondicionado;jardin;gastos_comunidad;inmueble_ingresos;alquiler_opcion_a_compra;disponibilidad;usufructo;nuda_propiedad;derecho_superficie;sup_comercial;tipo_inmueble;armario_empotrado;buhardilla;cancha_tenis;carpinteria_exterior_doble_vidrio/pvc;carpinteria_exterior_doble_vidrio/madera;carpinteria_exterior_doble_vidrio/metal;carpinteria_exterior_triple_vidrio/madera;carpinteria_exterior_triple_vidrio/metal;carpinteria_exterior_vidrio/pvc;carpinteria_exterior_vidrio/madera;carpinteria_exterior_vidrio/metal;chimenea;cocina_1;fibra_optica;hidromasaje;instalacion_tv_centralizada;instalacion_tv_individual;exterior;interior;interior_y_exterior;orientacion_este;orientacion_norte;orientacion_norte,_sur;orientacion_oeste;orientacion_sur;orientacion_sur,_este;piscina;porton_electrico;puerta_blindada;sistema_alarma;videoportero;lujosa;read_all
Piso de cuatro habitaciones 223 m², Goya, Madrid;https://www.indomio.es/anuncios/96941925/;3.500.000;3500000;;;15.695;223;Madrid; Salamanca;4;Goya;42;Goya;;Piso de cuatro habitaciones 223 m²;desconocido;E;No indicado;Piso;;;;1;4;4.0;3+;;;;No;;;;;;;;;;;;;;;;493.0;;0;;0;0;;0;0;;0;;0;0;;0;;0;0;0;;0;0;;;;0;;0;0;0;0;0;1;Descubre este magnífico piso en la codiciada zona de Goya, completamente reformado y listo para habitar. La propiedad cuenta con cuatro amplios dormitorios, cada uno con baño en suite. Tres de los dormitorios son dobles y están equipados con armarios empotrados de alta calidad.El espacioso y luminoso salón se divide en dos ambientes, proporcionando un espacio perfecto para el entretenimiento y la relajación. La zona de estar cuenta con una acogedora terraza, ideal para disfrutar de una mesita y dos butacas. La cocina, integrada en el salón, está equipada con electrodomésticos de primera calidad y cuenta con una gran isla central que actúa como divisoria entre el comedor y la cocina, ofreciendo una amplia capacidad de almacenamiento y un espacio ideal para desayunos, cenas y como zona de trabajo culinario.En la entrada se encuentra la zona de lavado y un aseo de cortesía, añadiendo conveniencia a la distribución del piso. La finca dispone de portero físico y calefacción individual, asegurando comodidad y seguridad para sus residentes.No pierdas la oportunidad de vivir en este elegante y funcional hogar en una de las mejores zonas de Madrid. Contáctanos para más información o para agendar una visita.
Piso de tres habitaciones Cl. Vizconde de matamala, Fuente del Berro, Madrid;https://www.indomio.es/anuncios/96932655/;449.000;449000;;;4.777;94;Madrid; Salamanca;4;Fuente del Berro;43;Fuente del Berro;;Piso de tres habitaciones Cl. Vizconde de matamala;desconocido;;No indicado;Piso;;;;;3;3.0;1;;;;;;;;;;;;;;;;;;;;;;0;;0;0;;0;0;;0;;0;0;;0;;0;0;0;;0;0;;;;0;;0;0;0;0;0;0;Housfy vende encantador piso en Salamanca, Madrid. Una vivienda luminosa y ubicada en un entorno idóneo para disfrutarlo.Este piso fue construido en el año 1961.Detalles del inmueble:-2º planta exterior con ascensor en finca de 1961.-Reformado hace 5 años.- Encantador piso de 94 m2 en Fuente del Berro. (Los metros cuadrados están verificados con la Dirección General de Catastro)- Agradable salón con amplio espacio de luz natural, siendo además, un espacio agradable estupendo para visitas de amigos y familiares.-3 amplias habitaciones y 1 baño completo.- Con una conveniente cocina muy completa.- Además dispone de armarios empotrados.No lo dudes más y contacta con nosotros para agendar una visita, conseguiremos la vivienda de tus sueños.El precio de venta no incluye gastos de la compraventa como notaría, registro, impuestos, ni tampoco honorarios agencia. Esta publicación no es vinculante. Consulta siempre la nota simple con Housfy antes de formalizar la compraventa.Sobre nosotrosHousfy es la plataforma integral de servicios inmobiliarios. Nuestra combinación de expertos y tecnología pone al alcance de todo el mundo servicios cómodos, claros y seguros. AICAT número: 7922Para tu seguridad, nunca cobramos honorarios ni reservas de inmuebles en alquiler antes de la firma del contrato de reservaNos encargamos de la gestión y asesoramiento de la compra. ¡Olvídate de todo! Hacemos los trámites por ti. Y, si además necesitas financiación, ponemos a tu disposición un bróker hipotecario para ayudarte a conseguir las mejores condiciones para tu perfil económico.¿Tienes alguna duda? Pregúntanos sin compromiso o visítanos en housfy.com.
Piso tercera planta, Recoletos, Madrid;https://www.indomio.es/anuncios/96969415/;4.200.000;4200000;;;12.353;340;Madrid; Salamanca;4;Recoletos;41;Recoletos;;Piso tercera planta;desconocido;;No indicado;Piso;;;Sí;3;5;5.0;3+;;;1 en garaje privado;;Sí;;;;1964.0;;Individual, frío;Sin jardín;;;;Libre;;;;;;0;;0;0;;0;0;;0;;0;0;;0;;0;0;0;;0;0;;;;0;;0;0;0;0;0;1;Este fabuloso piso está a la venta en el prestigioso barrio de Chamberí, Madrid. Está en una zonas muy bonitas, tranquilas y muy bien comunicado con transporte público y carretera. Además, hay restaurantes, tiendas, super mercados, parques, colegios y farmacias en las proximidades.El inmueble tiene un total de 360 m distribuidos en  5 dormitorios, 6 baños y una terraza de 40 m. Además, el inmueble dispone de 2 plazas de garaje, y la opción de comprar más adicionales. Este piso tiene instalación de aire acondicionado y se vende completamente amueblado. El inmueble está en perfecto estado, recién reformado con los mejores materiales y calidades.  El edificio tiene ascensor, servicio de conserje y vigilancia de accesos.Debido a la privacidad y exclusividad de este inmueble y de sus propietarios, no se publican imágenes del inmueble. Si le interesa ver fotos contáctenos a través del anuncio.No dude en contactarnos si le interesa este inmueble. Tenemos muchas más casas, pisos, chalets, fincas, locales comerciales y parcelas en alquiler y venta en Madrid.Gracias por considerarnos como su agente inmobiliario en Madrid.
Piso de cuatro habitaciones Calle De José Ortega Y Gasset, Castellana, Madrid;https://www.indomio.es/anuncios/96973493/;3.700.000;3700000;;;18.5;200;Madrid; Salamanca;4;Castellana;46;Castellana;calle de jose ortega y gasset;Piso de cuatro habitaciones Calle De José Ortega Y Gasset;desconocido;F;F;Piso;;Para reformar;;3;4;4.0;3;No;;;;Sí;;;Individual;;;Individual;;;;;;;;;;;0;;0;0;;0;0;;0;;0;0;;0;;0;0;0;;0;0;;;;0;;0;0;0;0;0;1;DIZA Consultores les presenta este espectacular piso en plena milla de Oro, en la mejor zona de Ortega y Gasset.Se trata de un piso a reformar ubicado en un edificio clásico de principios del siglo XX con balcones y techos altos de más de tres metros de altura. Se encuentra en una tercera planta, totalmente exterior de 200 metros cuadrados.La vivienda se encuentra para reformar y cuenta con grandes posibilidades para poder crear distintas distribuciones.La finca es muy representativa con un portal majestuoso y cuenta con portero físico.El barrio Salamanca se trata de una de las zonas más lujosas y con mejor calidad de vida de Europa. Gracias a la amplia oferta gastronómica, cultural y comercial, se trata de una formidable zona donde vivir e invertir.Estaremos encantados de atenderle.DIZA Consultores InmobiliariosInmobiliaria de lujo en Madrid especializada en comprar, vender y alquilar pisos en las zonas premium de Madrid: Barrio de Salamanca, Almagro, Chamartín, Retiro, Pozuelo, Aravaca, Boadilla.Convertimos Sueños en Hogares.
Piso de dos habitaciones buen estado, Castellana, Madrid;https://www.indomio.es/anuncios/96570929/;1.329.000;1329000;;;10.465;127;Madrid; Salamanca;4;Castellana;46;Castellana;;Piso de dos habitaciones buen estado;desconocido;;No indicado;Piso;;Bueno / Habitable;Sí;;2;2.0;2;No;No;;No;Sí;;;;1939.0;;Individual, frío/calor;Sin jardín;;;;;;;;;;1;;0;0;;0;0;;0;;0;0;;0;;0;0;0;;0;0;;;;0;;0;0;0;0;0;1;Nos complace presentar esta espectacular vivienda en la Calle Castelló 109, ubicada en el prestigioso barrio de Salamanca, Madrid. Este cuarto piso interior, actualmente en obras, cuenta con 126 m catastrales y está diseñado para ofrecer el máximo lujo y confort. La propiedad incluye dos habitaciones y dos baños, con una cocina totalmente equipada. Con aire acondicionado y ascensor, El barrio de Salamanca es conocido por su exclusividad y elegancia. Vivir aquí significa estar cerca del ABC Serrano, que ofrece una experiencia de compra de lujo, y el Intercambiador de Avenida de América, que asegura excelentes conexiones de transporte. Para los amantes de la cultura, el Museo Lázaro Galdiano es una visita obligada, mientras que el IE Business School proporciona un entorno académico de prestigio. La zona también alberga varias embajadas, añadiendo un nivel de seguridad y prestigio adicional. Esta vivienda ofrece lujo y comodidad en una ubicación privilegiada en el corazón de la capital.
Chalet 4 habitaciones, Recoletos, Madrid;https://www.indomio.es/anuncios/97004195/;1.370.000;1370000;;;5.983;229;Madrid; Salamanca;4;Recoletos;41;Recoletos;;Chalet 4 habitaciones;desconocido;;No indicado;Chalet;;;;1;4;4.0;2;;;;No;;;;;;;;;;;;;;;;709.0;;0;;0;0;;0;0;;0;;0;0;;0;;0;0;0;;0;0;;;;0;;1;0;0;0;0;1;GILMAR MIRASIERRA - PUERTA DE HIERRO presenta este es un magnífico chalet independiente ubicado en el residencial barrio de Peñagrande. Con una reforma integral en 2018, esta propiedad destaca por la alta calidad de sus acabados y así como por sus comodidades y características de alta gama, incluyendo AEROTERMIA y placas fotovoltaicas, convirtiéndola en una excelente PASSIVEHOUSE.Con una superficie construida de casi 230 m², esta vivienda se desarrolla toda en una sola planta, y cuenta con 4 dormitorios y 2 baños completos, lo que la convierte en el hogar perfecto para una familia. Los dormitorios son amplios y luminosos, con armarios empotrados para un almacenamiento adicional. Los baños han sido cuidadosamente diseñados con materiales de alta calidad y ofrecen un ambiente relajante y sofisticado.La cocina es una verdadera joya, con muebles de diseño moderno y electrodomésticos de última generación. Además, cuenta con una isla central y una zona de comedor informal, perfecta para disfrutar de momentos especiales en familia. El salón es espacioso y luminoso, con grandes ventanales que permiten la entrada de luz natural y ofrecen unas vistas impresionantes al jardín y piscina.El jardín es otro de los puntos destacados de esta propiedad. La parcela con una superficie de más de 450 m², cuenta con una piscina de depuración salina y una zona de solárium, ideal para relajarse y disfrutar del buen tiempo. También hay una zona de comedor al aire libre con una cómoda y funcional barbacoa, perfecta para organizar barbacoas y reuniones familiares.En cuanto a la ubicación, este chalet se encuentra en una zona residencial tranquila, con fácil acceso a todos los servicios necesarios. Rodeada de colegios, comercio y excelentes comunicaciones, cuenta con el centro comercial La Vaguada a poca distancia, ofreciendo una amplia variedad de tiendas, restaurantes y cines.En cuanto al transporte público, las líneas de metro más cercanas son la línea 7 y la línea 9, que conectan rápidamente con el centro de la ciudad. También hay varias líneas de autobús que pasan cerca de la propiedad, proporcionando conexiones convenientes con otras áreas de la ciudad. Para aquellos que prefieren el tren, las líneas de cercanías más cercanas son la C-3 y la C-7.En resumen, este chalet independiente en Peñagrande es una oportunidad única para aquellos que buscan una vivienda de lujo en una ubicación privilegiada. Con su diseño elegante, comodidades de alta gama y un entorno tranquilo, esta propiedad es el lugar perfecto para llamar hogar.GILMAR es una reconocida compañía inmobiliaria que lleva más de 40 años ayudando a clientes a encontrar la casa de sus sueños. Con un equipo de expertos en marketing inmobiliario, GILMAR se enorgullece de ofrecer un servicio personalizado y de alta calidad. Si desea obtener más información sobre esta propiedad, no dude en ponerse en contacto con nuestro equipo en la oficina de Mirasierra, ubicada en Calle Nuria 59, en el centro comercial Mirasierra. Puede llamar al 91 771 77 77 o enviar un correo electrónico a mirasierra@gilmar.es. Recuerde mencionar la referencia del inmueble para obtener información específica sobre esta propiedad.
Piso de dos habitaciones Calle De O'Donnell, Ibiza, Madrid;https://www.indomio.es/anuncios/96985489/;1.250.000;1250000;;;10.0;125;Madrid; Retiro;3;Ibiza;34;Ibiza;calle de o'donnell;Piso de dos habitaciones Calle De O'Donnell;desconocido;;Inclasificable;Piso;;Bueno / Habitable;;2;2;2.0;2;No;;;;Sí;;;;1951.0;;Individual;;€ 148/mes;;;;;;;;;0;;0;0;;0;0;;0;;0;0;;0;;0;0;0;;0;0;;;;0;;0;0;0;0;0;1;DIZA Consultores les presenta luminoso piso con reforma de lujo junto al Retiro.En la segunda planta de un edificio construido en 1951, encontramos este luminoso piso de 125 metros cuadrados.La zona noble goza de muchísima luz durante todo el día gracias a los grandes ventanales y altura. Está compuesta por salón-comedor con cocina integrada y acceso directo a la terraza.La zona de descanso está compuesta por dos dormitorios, el principal con vestidor y baño en suite.Las calidades de construcción son excelentes, aire acondicionado por conductos, cerramientos con aislamiento térmico y acústico y electrodomésticos de primera.La finca cuenta con portero en horario de portería y vivienda dentro del edificio. El Barrio Ibiza se trata de una de las zonas más lujosas y con mejor calidad de vida de Europa. Gracias a la amplia oferta gastronómica, cultural y comercial, se trata de una formidable zona donde vivir e invertir.Estaremos encantados de atenderle.DIZA Consultores Inmobiliarios.Inmobiliaria de lujo en Madrid especializada en comprar, vender y alquilar pisos en las zonas premium de Madrid: Barrio de Salamanca, Almagro, Chamartín, Retiro, Pozuelo, Aravaca, Boadilla.Convertimos Sueños en Hogares.
Piso de cuatro habitaciones Calle Ayala, Goya, Madrid;https://www.indomio.es/anuncios/96976715/;3.500.000;3500000;;;13.41;261;Madrid; Salamanca;4;Goya;42;Goya;calle ayala;Piso de cuatro habitaciones Calle Ayala;desconocido;;No indicado;Piso;;Bueno / Habitable;Sí;2;4;4.0;3+;Sí;;;No;No;;;;1953.0;;Individual, frío/calor;Sin jardín;;;;;;;;;;1;;0;0;;0;0;;0;;0;0;;0;;0;0;0;;0;0;;;;0;;0;0;0;0;0;1;Diploomatic Real Estate ofrece piso de lujo con terminación de máxima calidad en el distrito de Salamanca. Edificio de 1953 con buen portal. Salón comedor de 75 m2. 4 dormitorios con baño en suite. Aseo cortesía. Cocina integrada en el salón, equipada con electrodomésticos de alta gama. Balcón de la calle. Armarios empotrados. Esperamos su llamada, 91 564 77 00-WEB: www.diplomatic.es Diplomatic Real Estate con más de 25 años en el sector inmobiliario y una amplia cartera de viviendas de lujo, locales, oficinas y edificios ofrece asesoramiento completo a sus clientes tanto en alquiler como en compra venta de inmuebles.
Piso de tres habitaciones Calle De Ayala, Goya, Madrid;https://www.indomio.es/anuncios/96921097/;1.849.000;1849000;;;11.777;157;Madrid; Salamanca;4;Goya;42;Goya;calle de ayala;Piso de tres habitaciones Calle De Ayala;desconocido;C;C;Piso;;Bueno / Habitable;;2;3;3.0;3;Sí;;;;Sí;;;Central;1930.0;;Individual;;€ 120/mes;;;;;;;;;0;;0;0;;0;0;;0;;0;0;;0;;0;0;0;;0;0;;;;0;;0;0;0;0;0;1;AMMA HOME ofrece esta exclusiva vivienda en la calla Ayala, una propiedad de categoría Premium en el codiciado barrio de Salamanca - Goya, Madrid. Este apartamento de 157 metros catastrales, situado en el segundo piso con vistas exteriores, combina elegancia y comodidad en un entorno vibrante y sofisticado. El barrio ofrece calles arboladas, boutiques de lujo y una variada oferta gastronómica, ideal para quienes buscan un estilo de vida distinguido. La vivienda cuenta con tres amplias habitaciones y tres baños completos. Está equipada con calefacción comunitaria, aire acondicionado y ascensor, garantizando confort y accesibilidad. La cocina completamente equipada y el cuarto de lavado añaden practicidad a esta propiedad amueblada y de diseño atemporal, su ubicación en una finca clásica de 1930 y la proximidad a las mejores ofertas culturales y comerciales de Madrid, hacen de esta propiedad una inversión valiosa.
Piso de cuatro habitaciones 228 m², Recoletos, Madrid;https://www.indomio.es/anuncios/96917931/;3.300.000;3300000;;;14.474;228;Madrid; Salamanca;4;Recoletos;41;Recoletos;;Piso de cuatro habitaciones 228 m²;desconocido;;No indicado;Piso;;;;1;4;4.0;3+;;;;No;;;;;;;;;;;;;;;;472.0;;0;;0;0;;0;0;;0;;0;0;;0;;0;0;0;;0;0;;;;0;;0;0;0;0;0;1;En una tercera planta exterior, con 244 m construidos y techos de más de 3,20 m, se encuentra esta elegante vivienda en el corazón de Salamanca. Sus amplios espacios, con molduras originales, ofrecen una distribución impecable.Un hall de entrada da paso a un luminoso salón y un despacho, ambos con grandes ventanales y vistas despejadas. Un comedor independiente, con capacidad para ocho comensales, y un dormitorio adicional completan la zona de día. La cocina, de generosas dimensiones, cuenta con electrodomésticos empotrados y una gran encimera.La zona de noche alberga tres dormitorios dobles en suite, cada uno con armarios empotrados y baño completo. El dormitorio principal destaca por su amplitud, vestidor y dos grandes ventanales.Ubicada en una finca señorial de 1935, con ascensor y portero físico, esta propiedad se sitúa en una de las calles más emblemáticas de Salamanca Recoletos. Rodeada de todos los servicios y a pocos minutos del Parque del Retiro, es una oportunidad única para adquirir una vivienda familiar en una de las zonas más exclusivas de Madrid.En Walter Haus, te invitamos a descubrir esta joya inmobiliaria y a disfrutar de la calidad de vida que ofrece.
Piso de dos habitaciones 82 m², Goya, Madrid;https://www.indomio.es/anuncios/96962669/;899.000;899000;;;10.963;82;Madrid; Salamanca;4;Goya;42;Goya;;Piso de dos habitaciones 82 m²;desconocido;;No indicado;Piso;;;;1;2;2.0;2;;;;No;;;;;;;;;;;;;;;;171.0;;0;;0;0;;0;0;;0;;0;0;;0;;0;0;0;;0;0;;;;0;;0;0;0;0;0;1;Este elegante piso, ubicado en el exclusivo barrio de Goya, es una joya inmobiliaria que combina a la perfección diseño contemporáneo y confort. Con 89 metros cuadrados construidos, esta vivienda ofrece espacios amplios y luminosos, ideales para quienes buscan un hogar sofisticado y funcional.Sus dos dormitorios, cada uno con baño en suite, garantizan la máxima privacidad y comodidad. La cocina, completamente equipada con electrodomésticos de última generación, es el corazón de este hogar, diseñada para los amantes de la gastronomía. La reforma integral ha cuidado hasta el último detalle, con acabados de alta calidad, carpintería a medida y un sistema de climatización por conductos que proporciona un ambiente agradable en todo momento.Este piso goza de una ubicación privilegiada, cerca de puntos de interés cercanos, como zonas comerciales, parques o transporte público. Además, la zona destaca por su tranquilidad y seguridad, convirtiéndola en una de las más demandadas de la ciudad.Adquirir este piso es una inversión en calidad de vida. Disfrute de un hogar exclusivo, diseñado para satisfacer los gustos más exigentes. En Walter Haus, estamos comprometidos a ofrecer a nuestros clientes las mejores propiedades del mercado. Contáctenos para concertar una visita.
Piso de una habitación 42 m², Recoletos, Madrid;https://www.indomio.es/anuncios/96933217/;348.000;348000;;;8.286;42;Madrid; Salamanca;4;Recoletos;41;Recoletos;;Piso de una habitación 42 m²;desconocido;;No indicado;Piso;;;;;1;1.0;1;;;;No;;;;;;;;;;;;;;;;;;0;;0;0;;0;0;;0;;0;0;;0;;0;0;0;;0;0;;;;0;;0;0;0;0;0;1;Este hermoso apartamento nuevo a estrenar con reforma de diseño se encuentra ubicado en el barrio de Rios Rosas, en la zona de Chamberí, en Madrid. Con una superficie construida de 42 metros cuadrados, este apartamento ofrece un ambiente moderno y elegante, perfecto para aquellos que buscan un estilo de vida sofisticado en el corazón de la ciudad.Una de las características destacadas de este inmueble es su gran patio acondicionado de 11 metros, que brinda un espacio adicional para relajarse al aire libre y disfrutar del clima mediterráneo. Además, cuenta con un dormitorio independiente, lo que proporciona privacidad y comodidad.El apartamento se encuentra en una ubicación privilegiada, con fácil acceso a una amplia gama de servicios y comodidades. A menos de 10 kilómetros de distancia, se encuentra el prestigioso colegio ABC School, que ofrece una educación de calidad para los más pequeños. Además, el centro comercial XYZ Mall se encuentra a poca distancia, ofreciendo una amplia selección de tiendas, restaurantes y entretenimiento.En cuanto al transporte, las líneas de metro más cercanas son la línea 1 y la línea 7, que ofrecen conexiones rápidas y convenientes con el resto de la ciudad. Además, las líneas de cercanías C1 y C2 están a poca distancia, lo que facilita los desplazamientos a las afueras de Madrid. También hay varias líneas de autobuses que pasan cerca, lo que brinda aún más opciones de transporte.El barrio de Rios Rosas en Chamberí es conocido por su ambiente tranquilo y su excelente calidad de vida. Con calles arboladas, parques cercanos y una amplia variedad de restaurantes y tiendas, este barrio es el lugar ideal para aquellos que buscan un estilo de vida urbano pero relajado.En resumen, este apartamento nuevo a estrenar en Rios Rosas es una verdadera joya en el mercado inmobiliario. Con su diseño de alta calidad, su gran patio acondicionado y su ubicación privilegiada en Chamberí, ofrece una oportunidad única para disfrutar de una vida cómoda y sofisticada en el corazón de Madrid.En Gilmar llevamos desde 1983 ayudando a nuestros clientes a encontrar la casa de sus sueños. Nuestro equipo de profesionales altamente cualificados está comprometido en brindar un servicio personalizado y de calidad, adaptado a las necesidades y deseos de cada cliente.Si deseas obtener más información sobre este maravilloso apartamento, no dudes en contactarnos. Puedes visitar nuestra oficina en la calle Carranza, 20, en Chamberí, o llamar al 91 591 91 90. También puedes enviarnos un correo electrónico a chamberi@gilmar.es. ¡Estaremos encantados de ayudarte a encontrar tu nuevo hogar! Recuerda facilitarnos la referencia del inmueble para una atención más eficiente.
Piso de dos habitaciones 142 m², Ibiza, Madrid;https://www.indomio.es/anuncios/96988747/;2.500.000;2500000;;;17.606;142;Madrid; Retiro;3;Ibiza;34;Ibiza;;Piso de dos habitaciones 142 m²;desconocido;;No indicado;Piso;;;;;2;2.0;3;;;;No;;;;;;;;;;;;;;;;;;0;;0;0;;0;0;;0;;0;0;;0;;0;0;0;;0;0;;;;0;;0;0;0;0;0;1;Ático en Goya para estrenarBarnes Madrid, presenta este Ático exclusivo en el barrio de Goya, diseñado para quienes buscan confort, estilo y espacios al aire libre en una de las zonas más prestigiosas de Madrid. Con 2 amplios dormitorios, 3 cómodos baños y un práctico cuarto de lavado, esta propiedad destaca por su distribución funcional y moderna.Sus 2 terrazas privadas ofrecen un entorno perfecto para relajarse, disfrutar del sol o celebrar reuniones al aire libre. Totalmente amueblado con mobiliario de alta calidad, está listo para entrar a vivir, cuidando cada detalle para ofrecer la máxima comodidad.Este ático combina la tranquilidad de un hogar exclusivo con la cercanía a servicios, tiendas y transporte. Una oportunidad única para vivir con estilo en uno de los barrios más codiciados de la capital.La zona Goya, situada en el Barrio de Salamanca de Madrid, es una área vibrante y elegante que combina tradición y modernidad. Se caracteriza por sus amplias avenidas, edificios de estilo clásico y una gran oferta comercial, con boutiques de lujo, tiendas de diseño y restaurantes de alta gama. La calle Goya, principal arteria de la zona, conecta con otros puntos clave de la ciudad y es conocida por su gran actividad comercial. Además, cuenta con una excelente conexión de transporte público. Es una de las zonas más cotizadas de Madrid, tanto para vivir como para trabajar, y tiene una destacada vida nocturna.
Piso de tres habitaciones 163 m², Goya, Madrid;https://www.indomio.es/anuncios/96988745/;2.990.000;2990000;;;18.344;163;Madrid; Salamanca;4;Goya;42;Goya;;Piso de tres habitaciones 163 m²;desconocido;;No indicado;Piso;;;;;3;3.0;3;;;;No;;;;;;;;;;;;;;;;;;0;;0;0;;0;0;;0;;0;0;;0;;0;0;0;;0;0;;;;0;;0;0;0;0;0;1;Piso reformado en GoyaBarnes Madrid, presenta este exclusivo y elegante Piso Reformado en una ubicación inmejorable, una propiedad única de 163m², cuidadosamente diseñada para quienes valoran el lujo, el confort y el buen gusto en cada rincón.Distribución y características destacadas:Luminoso salón con vistas despejadas de la ciudad, comedor y cocina con isla y electrodomésticos de alta gama.3 dormitorios espaciosos, dos de ellos con baños en suite, ofreciendo la máxima privacidad y comodidad.Un elegante baño adicional para invitados, perfectamente integrado.Un práctico cuarto de lavandería y un funcional trastero.Reforma integral con materiales de alta calidad. Se incluyen todos los muebles.El diseño moderno, combinado con acabados exquisitos, aporta un toque sofisticado y cálido a este magnífico piso. Cada detalle ha sido cuidadosamente pensado para crear un ambiente relajado.La zona Goya, situada en el Barrio de Salamanca de Madrid, es una área vibrante y elegante que combina tradición y modernidad. Se caracteriza por sus amplias avenidas, edificios de estilo clásico y una gran oferta comercial, con boutiques de lujo, tiendas de diseño y restaurantes de alta gama. La calle Goya, principal arteria de la zona, conecta con otros puntos clave de la ciudad y es conocida por su gran actividad comercial. Además, cuenta con una excelente conexión de transporte público. Es una de las zonas más cotizadas de Madrid, tanto para vivir como para trabajar, y tiene una destacada vida nocturna.
Piso de cuatro habitaciones Barrio Goya, Goya, Madrid;https://www.indomio.es/anuncios/96921099/;1.638.000;1638000;;;7.548;217;Madrid; Salamanca;4;Goya;42;Goya;;Piso de cuatro habitaciones Barrio Goya;desconocido;D;D;Piso;;Bueno / Habitable;;3;4;4.0;3;Sí;Sí;1 en garaje privado;;Sí;;;Central;1954.0;;Individual;;;;;;;;;;;0;;0;0;;0;0;;0;;0;0;;0;;0;0;0;;0;0;;;;0;;0;0;0;0;0;1;Amplio piso EXTERIOR en la mejor zona de Madrid. Edificio clásico y señorial junto a la calle GOYA con la fachada recién renovada. Dispone de UNA SOLA VIVIENDA en cada planta, permitiendo exclusividad e intimidad a cada vecino. Con elegante portal SIN BARRERAS arquitectónicas.Bien distribuido gracias a su buena planta y sus 2 accesos separados, principal y de servicio. Edificio de solida construcción, con techos altos y PATIO DE MANZANA en la parte de los dormitorios. Actualmente consta de 4 dormitorios más 1 habitación para el servicio. 3 baños. Amplios salón y comedor exteriores e independientes. Gran cocina independiente con office.Perfecto para familias medianas y numerosas. O para quien necesite GRANDES ESPACIOS dentro de su vivienda. Ideal para personalizar al gusto y necesidades. Consulte con nuestros técnicos en reformas, las múltiples posibilidades que ofrece esta maravillosa casa.
