PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO
2388;"Auditorio al aire libre. Parque Enrique Tierno Galván";"Su mantenimiento es competencia de la Junta de Distrito de Arganzuela.  Actividades: espectáculos variados durante los meses de verano.";"";"";"Metro: Arganzuela-Planetario (línea 6).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=26937b503a71c010VgnVCM1000000b205a0aRCRD";"PLANETARIO";"AVENIDA";"V";"18";"";"";"";"";"MADRID";"MADRID";"28045";"4";"LEGAZPI";"2";"ARGANZUELA";"441830";"4471375";"40.39094565095867";"-3.685388348976816";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
6622049;"Auditorio al aire libre. Parque Lineal del Manzanares";"Su mantenimiento es competencia de Medio Ambiente (Parques y Jardines).   Actividades: espectáculos variados durante los meses de verano.";"";"";"Metro: Hospital 12 de Octubre (línea 3).  Cercanías Renfe: Doce de Octubre (línea C5).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6fb3296aa2c9a310VgnVCM2000000c205a0aRCRD";"PERALES";"CAMINO";"V";"1";"";"";"";"";"MADRID";"MADRID";"28026";"4";"ALMENDRALES";"12";"USERA";"440997";"4470593";"40.3838473693563";"-3.695126033420815";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
52510;"Auditorio al aire libre. Pavones";"Su mantenimiento es competencia de la Junta de Distrito de Moratalaz.  Actividades: espectáculos variados durante los meses de verano.";"";"";"Metro: Pavones (línea 9).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3845946be351c010VgnVCM2000000c205a0aRCRD";"HACIENDA DE PAVONES";"CALLE";"V";"209";"";"";"";"";"MADRID";"MADRID";"28030";"6";"VINATEROS";"14";"MORATALAZ";"445938";"4472508";"40.40142998557316";"-3.6370844112676117";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
2397;"Auditorio al aire libre. Pilar García Peña (Parque Pinar del Rey)";"Su mantenimiento es competencia de la Junta de Distrito de Hortaleza.  Actividades: espectáculos variados durante los meses de verano.";"A especificar según evento.";"Aforo: 1500 personas";"Consultar los siguientes enlaces:";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b8a37b503a71c010VgnVCM1000000b205a0aRCRD";"CANILLAS";"CARRETERA";"V";"1";"";"";"";"";"MADRID";"MADRID";"28043";"3";"CANILLAS";"16";"HORTALEZA";"444274";"4479392";"40.46333523949564";"-3.657291981994152";"915 887 607";"";"cultuhortaleza@madrid.es";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
52515;"Auditorio al aire libre. Plaza de Ermua";"Su mantenimiento es competencia de Medioambiente (Parques y Jardines).  Actividades: espectáculos variados durante los meses de verano.";"";"";"Consultar los siguientes enlaces";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c8b5946be351c010VgnVCM2000000c205a0aRCRD";"GUETARIA";"CALLE";"V";"56";"";"";"";"";"MADRID";"MADRID";"28041";"1";"ORCASITAS";"12";"USERA";"439227";"4469272";"40.37181825097326";"-3.7158569969901873";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
5989871;"Auditorio Carmen Laforet (Ciudad Lineal)";"Ubicado en el Centro de Mayores Carmen Laforet";"De lunes a sábado, de 9 a 21 horas.";"Aforo: 190 personas Zona wifi";"Metro: Pinar de Chamartín (líneas 1, 4 y línea 1 metro ligero)";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fca22248514ae210VgnVCM1000000b205a0aRCRD";"JAZMIN";"CALLE";"V";"46";"";"";"";"";"MADRID";"MADRID";"28033";"9";"COSTILLARES";"15";"CIUDAD LINEAL";"443573";"4481211";"40.47967249471556";"-3.6657243894913565";"913 831 456";"";"cscsiena@madrid.es";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
52513;"Auditorio de la Plaza de Chamberí - Templete";"Su mantenimiento es competencia de la Junta Municipal de Chamberí.  Actividades: espectáculos variados durante todo el año.";"";"";"Metro: Iglesia (línea 1).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=36a5946be351c010VgnVCM2000000c205a0aRCRD";"PLAZA DE CHAMBERI";"TEMPLETE";"T";"";"";"";"";"";"MADRID";"MADRID";"";"";"";"";"DISTRITO";"440877";"4476025";"40.43277092586933";"-3.6970484720506938";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
11832607;"Auditorio Joaquín Rosado (Moncloa-Aravaca)";"";"";"Aforo: 280 personas. Zona wifi.";"Consultar los siguientes enlaces:";"";"1,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=66615b2575814810VgnVCM1000001d4a900aRCRD";"SANTA POLA";"CALLE";"V";"22";"";"";"";"";"MADRID";"MADRID";"28008";"1";"CASA DE CAMPO";"9";"MONCLOA-ARAVACA";"437516";"4475994";"40.432243310641894";"-3.7366613378902462";"915 487 772";"";"ccadiaz@madrid.es";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
10631882;"Auditorio Municipal al aire libre Lola Camarena";"Su mantenimiento es competencia de la Junta de Distrito de Villa de Vallecas.   Actividades: espectáculos variados durante todo el año.";"";"";"Metro: La Gavia (línea 1).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0dabd0b2571d1610VgnVCM1000001d4a900aRCRD";"LA GAVIA";"AVENIDA";"V";"13";"";"";"";"";"MADRID";"MADRID";"28051";"3";"ENSANCHE DE VALLECAS";"18";"VILLA DE VALLECAS";"448205";"4469500";"40.37447621683769";"-3.6101291550314283";"";"";"cultuvivallecas@madrid.es";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
161051;"Auditorio Municipal el Espinillo";"";"";"2 pistas de balonmano";"Bus: 22 , 59 , 85 , 79 , 123";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b6a9ba61e681c010VgnVCM1000000b205a0aRCRD";"TERTULIA";"CALLE";"V";"5";"";"";"";"";"MADRID";"MADRID";"28041";"4";"LOS ROSALES";"17";"VILLAVERDE";"441178";"4468147";"40.36180966975026";"-3.6927748531714824";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
7034889;"Auditorio Municipal Las Trece Rosas";"Su mantenimiento es competencia de la Junta de Distrito de Villa de Vallecas.   Actividades: espectáculos variados durante todo el año.";"";"";"Metro: Villa de Vallecas (línea 1).  Cercanías Renfe: Vallecas (líneas C2, C7 y Regional).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d8c31bbad23cf310VgnVCM1000000b205a0aRCRD";"MONTE DE MONTJUICH";"CALLE";"V";"7";"";"";"";"acceso por calle Sierra Gorda con vuelta a Sierra del Torcal";"MADRID";"MADRID";"28031";"2";"CASCO H.VALLECAS";"18";"VILLA DE VALLECAS";"447581";"4470145";"40.38024953878224";"-3.6175290483217055";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
2130;"Auditorio Nacional de Música";"Organismo dependiente del Instituto Nacional de las Artes Escénicas y de la Música (Ministerio de Cultura). Obra del arquitecto José María García de Paredes, fue inaugurado el 21 de octubre de 1988 y su construcción fue programada dentro del Plan Nacional de Auditorios, destinado a dotar al país de una adecuada infraestructura musical.";"";"";"Metro: Cruz del Rayo (línea 9),  Prosperidad (línea 4)";"";"1,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c4a4eb6fbd71c010VgnVCM1000000b205a0aRCRD";"PRINCIPE DE VERGARA";"CALLE";"V";"146";"";"";"";"";"MADRID";"MADRID";"28002";"3";"CIUDAD JARDIN";"5";"CHAMARTIN";"442509";"4477500";"40.44617171623489";"-3.6779351112941345";"913 370 139 / 913 370 140";"";"auditorio.nacional@inaem.cultura.gob.es";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
10290812;"Auditorio Parque de la Cuña Verde de Vicálvaro";"";"";"";"Consultar los siguientes enlaces";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1dbca0701d0da510VgnVCM1000001d4a900aRCRD";"CASALARREINA";"CALLE";"V";"26";"";"";"";"";"MADRID";"MADRID";"28032";"1";"CASCO H.VICALVARO";"19";"VICALVARO";"447938";"4473364";"40.4092735487853";"-3.613582880111065";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
7397298;"Café Berlín";"";"";"Estilos: Flamenco, Jazz, Pop, Rock.";"Metro: Ópera (líneas 2, 5 y Ramal), Callao (líneas 3 y 5).  Bus: 75, 147, 146, 148, 44, 133, 001, 1, 2, 3, 46, 74.  Bicimad: Estaciones 23 (plaza de Santo Domingo, 1), 22 (calle Jacometrezo, 3).  Aparcamientos: Descalzas (20), plaza Descalzas y plaza San Martín; el Corte Inglés Callao (92), plaza de Callao.";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=df5ec0b5d45d4410VgnVCM1000000b205a0aRCRD";"ANGELES";"COSTANILLA";"V";"20";"";"";"";"";"MADRID";"MADRID";"28013";"6";"SOL";"1";"CENTRO";"439941";"4474569";"40.41958857138475";"-3.7079430927433954";"915 215 752";"";"info@cafeberlin.es";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
5304610;"Café Central";"";"";"Estilos: Jazz.";"Metro: Antón Martín (línea 1), Sol (líneas 1, 2 y 3).  Bus: 002, M1, 26, 32, 6, 65, M3  Cercanías Renfe: Sol (líneas C3, C4 y Regional).  Bicimad: Estaciones 34 (Plaza Jacinto Benavente), 52 (Plaza Santa Ana, 10).  Aparcamiento: Plaza de Santa Ana (77), plaza Jacinto Benavente (15).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d3611cbd662c0210VgnVCM2000000c205a0aRCRD";"ANGEL";"PLAZA";"V";"10";"";"";"";"";"MADRID";"MADRID";"28012";"3";"CORTES";"1";"CENTRO";"440450";"4473965";"40.41418599606439";"-3.7018903169687927";"913 694 143";"";"programacion@cafecentralmadrid.com";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
7035060;"Café La Palma";"";"";"Estilos: Canción de autor, Eléctrica, HipHop, House, Indie, Reggae, Rock.";"Metro: Noviciado (línea 2), San Bernardo (líneas 2 y 4), Ventura Rodríguez (línea 3).  Bus: 002, 147, 3.  Bicimad: Estación 15 (Calle norte n&amp;ordm; 8).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2000aa5a863cf310VgnVCM1000000b205a0aRCRD";"PALMA";"CALLE";"V";"62";"";"";"";"";"MADRID";"MADRID";"28015";"5";"UNIVERSIDAD";"1";"CENTRO";"439936";"4475369";"40.426789806131936";"-3.708082724680818";"915 225 031";"";"cafelapalma@cafelapalma.com";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
52511;"Centro Cultural Auditorio Parque El Paraíso (San Blas - Canillejas)";"";"";"";"Metro: Simancas (línea 7)";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a395946be351c010VgnVCM2000000c205a0aRCRD";"ARCENTALES";"AVENIDA";"V";"4";"";"";"";"";"MADRID";"MADRID";"28037";"2";"HELLIN";"20";"SAN BLAS-CANILLEJAS";"447225";"4475667";"40.42997621103139";"-3.6221773579444596";"915 888 065";"";"cultusanblas@madrid.es";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
7582981;"Independance Club";"";"";"Estilos: Pop, Rock";"Metro: Estación del Arte (línea 1).  Bus: 26, 32, 6, 001, 10, 14, 27, 34, 37, 45, C03, E1.  Bicimad: Estaciones 67 (calle Almadén, 28), 81 (cuesta de Claudio Moyano), 50 (calle Santa Isabel, 57).  Aparcamiento: Sánchez Bustillo (37).  Cercanías Renfe: Atocha (líneas C1, C2, C3, C4, C4a, C4b, C5, C7, C10).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=faa5f49cf9847410VgnVCM2000000c205a0aRCRD";"ATOCHA";"CALLE";"V";"127";"";"";"";"";"MADRID";"MADRID";"28012";"3";"CORTES";"1";"CENTRO";"441210";"4473454";"40.409630697339814";"-3.6928774759221272";"683 516 474";"";"info@independanceclub.com";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
11519883;"Pabellón de Convenciones (Recinto Ferial Casa de Campo)";"En el Recinto Ferial de la Casa de Campo y junto al Parque Madrid Río se encuentra el Pabellón de Convenciones, el mejor escenario para acoger ferias, salones profesionales, exposiciones, reuniones y presentaciones de producto. Situado en la entrada más occidental del recinto, este edificio gestionado por la empresa municipal Madrid Destino dispone de 2.886 metros cuadrados de superficie útil, distribuidos en una planta baja y una planta alta. Los arquitectos Jaime Ruiz y Francisco Cabrero diseñaron el Pabellón de Convenciones, que fue construido en 1953.  Durante los años 2019 y 2020, se llevaron a cabo las obras de rehabilitación estructural del edificio y reconstrucción de la Marquesina de la entrada principal. También se realizaron actuaciones de acondicionamiento y de renovación de sus instalaciones principales.";"";"";"Metro: Lago (Línea 10), Alto de Extremadura (Línea 6)  Bus: 31, 33, 36, 39, 65";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dfd722307a31d710VgnVCM1000001d4a900aRCRD";"PORTUGAL";"AVENIDA";"V";"";"";"";"";"";"MADRID";"MADRID";"28011";"1";"CASA DE CAMPO";"9";"MONCLOA-ARAVACA";"437456";"4474126";"40.4117160112298";"-3.7400898422689233";"915 787 789";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
